Age,Salary,Gender,Marital Status,Years of Experience
38,108411,Female,Married,1
32,98869,Prefer Not to Say,Married,13
65,127083,Prefer Not to Say,Single,4
51,27428,Male,Divorced,1
61,14142,Prefer Not to Say,Single,19
51,42885,Prefer Not to Say,Single,15
56,109215,Male,Divorced,24
43,93525,Male,Married,25
28,193555,Male,Single,21
65,198707,Female,Divorced,21
39,183198,Female,Married,24
45,75004,Male,Married,17
28,145575,Female,Single,14
50,159391,Male,Single,11
38,31062,Male,Divorced,3
61,82192,Male,Divorced,7
63,14167,Male,Single,4
57,12584,Male,Married,8
41,11293,Prefer Not to Say,Divorced,10
25,178388,Female,Divorced,18
65,125316,Male,Single,4
42,166479,Prefer Not to Say,Divorced,5
36,14802,Female,Married,22
27,81201,Prefer Not to Say,Divorced,11
50,198935,Male,Married,18
27,156545,Prefer Not to Say,Single,19
41,140543,Prefer Not to Say,Divorced,6
35,181967,Male,Single,19
48,176843,Male,Divorced,20
23,60371,Male,Married,21
35,116778,Male,Married,21
21,82384,Male,Divorced,19
55,12263,Prefer Not to Say,Married,11
44,132945,Female,Single,19
20,169154,Female,Married,23
57,17298,Female,Married,12
47,143274,Male,Married,19
56,135286,Female,Divorced,11
32,39217,Female,Married,18
38,38514,Male,Married,3
57,129132,Prefer Not to Say,Married,5
22,97021,Male,Married,15
59,141471,Prefer Not to Say,Married,22
48,49319,Male,Single,7
60,187073,Female,Married,19
20,31768,Male,Divorced,6
38,14575,Female,Divorced,1
18,79364,Female,Single,14
43,104161,Prefer Not to Say,Married,5
26,29812,Male,Single,19
53,90280,Male,Divorced,25
31,21477,Male,Single,7
36,81238,Male,Married,20
50,108805,Female,Single,7
28,107696,Prefer Not to Say,Single,6
21,38087,Female,Divorced,1
37,122202,Female,Married,14
27,166489,Female,Single,6
51,169670,Prefer Not to Say,Single,5
52,39175,Prefer Not to Say,Married,8
27,99168,Male,Married,15
40,6646,Male,Married,5
37,180401,Male,Single,9
49,89858,Male,Married,21
28,63383,Female,Single,6
28,161588,Female,Divorced,8
48,110932,Male,Single,6
63,81244,Prefer Not to Say,Single,8
36,16969,Female,Married,5
47,7978,Male,Married,21
18,40237,Male,Married,3
53,164265,Prefer Not to Say,Divorced,5
24,55979,Male,Married,10
61,191664,Female,Divorced,25
51,25756,Prefer Not to Say,Divorced,15
53,69104,Female,Single,15
23,85258,Female,Divorced,11
46,36636,Prefer Not to Say,Divorced,24
61,113099,Prefer Not to Say,Married,1
19,174362,Male,Married,20
33,147549,Male,Single,22
59,180907,Prefer Not to Say,Divorced,18
27,19389,Female,Divorced,25
30,101861,Prefer Not to Say,Divorced,2
24,182187,Female,Single,14
37,166161,Prefer Not to Say,Single,11
55,187593,Prefer Not to Say,Married,13
41,57886,Female,Divorced,11
38,85042,Male,Single,2
48,66037,Prefer Not to Say,Married,13
23,17534,Male,Married,11
20,20818,Male,Single,12
61,6892,Female,Married,3
51,97032,Female,Single,20
30,59312,Male,Single,20
65,162999,Female,Divorced,23
28,94957,Prefer Not to Say,Married,17
45,172733,Female,Divorced,8
24,163087,Male,Divorced,6
57,38650,Prefer Not to Say,Single,21
25,161366,Male,Divorced,3
52,118175,Prefer Not to Say,Married,6
50,106014,Female,Single,25
64,166986,Male,Married,14
64,48988,Prefer Not to Say,Married,22
37,21415,Male,Divorced,2
48,89516,Male,Single,11
56,105509,Prefer Not to Say,Married,12
20,197911,Male,Married,7
58,55548,Female,Single,20
48,31470,Female,Divorced,17
36,130561,Male,Married,8
60,112179,Prefer Not to Say,Married,2
50,97909,Female,Married,2
24,93744,Prefer Not to Say,Single,25
42,21855,Female,Single,9
24,84581,Female,Married,15
57,140959,Male,Single,7
22,172790,Prefer Not to Say,Married,21
47,77984,Female,Single,12
56,45358,Male,Divorced,12
21,121079,Male,Divorced,13
37,37632,Female,Married,22
55,35224,Prefer Not to Say,Married,23
65,133192,Prefer Not to Say,Single,9
18,163799,Female,Married,14
63,97916,Male,Divorced,3
55,73255,Male,Single,15
35,161773,Female,Divorced,18
18,127217,Prefer Not to Say,Single,19
25,114902,Female,Married,23
42,68458,Prefer Not to Say,Single,19
29,64487,Male,Married,5
31,133346,Female,Divorced,5
36,91773,Prefer Not to Say,Married,17
36,69929,Male,Divorced,12
42,68167,Male,Single,14
31,99500,Female,Married,22
33,124327,Female,Divorced,4
43,166041,Prefer Not to Say,Single,14
27,22579,Female,Married,23
33,109523,Female,Divorced,16
25,194554,Female,Divorced,6
20,46582,Male,Single,20
34,91310,Male,Divorced,3
60,11384,Female,Divorced,18
61,65910,Female,Married,7
32,106116,Prefer Not to Say,Married,13
58,24168,Female,Divorced,11
50,110550,Female,Single,15
56,81779,Male,Married,10
43,191487,Male,Divorced,14
49,171202,Female,Divorced,10
30,178120,Female,Single,18
33,190807,Prefer Not to Say,Single,22
37,39145,Prefer Not to Say,Married,4
51,45357,Female,Married,21
47,185442,Male,Married,21
26,129972,Male,Single,11
20,55881,Prefer Not to Say,Divorced,6
28,11918,Prefer Not to Say,Divorced,4
51,44850,Female,Married,23
34,146736,Prefer Not to Say,Single,8
31,132753,Prefer Not to Say,Married,15
37,67548,Male,Divorced,22
55,149215,Prefer Not to Say,Divorced,22
52,93794,Male,Married,10
33,49357,Male,Divorced,19
38,137589,Female,Married,15
24,53717,Male,Single,17
54,108378,Prefer Not to Say,Married,3
52,67670,Female,Divorced,10
37,83577,Female,Divorced,12
28,171363,Female,Single,4
26,92925,Male,Single,24
50,147558,Female,Divorced,2
23,50278,Male,Married,10
51,71817,Female,Single,10
45,55410,Male,Divorced,24
59,56517,Prefer Not to Say,Single,11
62,146309,Male,Single,4
61,77951,Prefer Not to Say,Married,3
48,74126,Male,Single,22
